person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_to_income_ratio,income_to_loan_ratio,annual_interest_burden,interest_burden_ratio,credit_age_ratio,emp_to_age_ratio,high_risk_flag,loan_status
22,30000,RENT,6.0,MEDICAL,B,3000,,0.1,N,4,0.1,10.0,329.7,0.01099,0.18181818181818182,0.2727272727272727,0,0
23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,0.34,N,4,0.33781957732014484,2.96016,4087.5,0.05523350089184369,0.17391304347826086,0.30434782608695654,0,1
26,83004,RENT,7.0,EDUCATION,A,5450,7.9,0.07,N,4,0.06565948628981735,15.230091743119266,430.55,0.005187099416895572,0.15384615384615385,0.2692307692307692,0,0
21,30000,RENT,5.0,PERSONAL,A,3500,7.9,0.12,N,2,0.11666666666666667,8.571428571428571,276.5,0.009216666666666666,0.09523809523809523,0.23809523809523808,0,0
25,45000,MORTGAGE,0.0,VENTURE,B,17000,11.89,0.38,N,2,0.37777777777777777,2.6470588235294117,2021.3000000000002,0.04491777777777778,0.08,0.0,0,0
38,225000,RENT,16.0,EDUCATION,D,15000,15.62,0.07,N,17,0.06666666666666667,15.0,2343.0,0.010413333333333333,0.4473684210526316,0.42105263157894735,0,0
28,75000,RENT,6.0,VENTURE,A,10000,7.9,0.13,N,5,0.13333333333333333,7.5,790.0,0.010533333333333334,0.17857142857142858,0.21428571428571427,0,0
23,63000,MORTGAGE,7.0,MEDICAL,A,9700,5.99,0.15,N,4,0.15396825396825398,6.494845360824742,581.03,0.009222698412698412,0.17391304347826086,0.30434782608695654,0,0
30,100000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,2000,,0.02,N,5,0.02,50.0,219.79999999999998,0.002198,0.16666666666666666,0.13333333333333333,0,0
28,12000,RENT,0.0,MEDICAL,C,2400,12.68,0.2,N,8,0.2,5.0,304.32,0.02536,0.2857142857142857,0.0,0,1
24,70000,RENT,0.0,VENTURE,B,2000,8.7,0.03,N,3,0.02857142857142857,35.0,174.0,0.0024857142857142855,0.125,0.0,0,0
32,84456,RENT,5.0,HOMEIMPROVEMENT,B,10000,9.88,0.12,N,7,0.11840484986265037,8.4456,988.0000000000001,0.011698399166429858,0.21875,0.15625,0,0
28,47000,OWN,5.0,DEBTCONSOLIDATION,D,13000,14.54,0.28,N,9,0.2765957446808511,3.6153846153846154,1890.2,0.040217021276595745,0.32142857142857145,0.17857142857142858,0,0
24,62000,MORTGAGE,8.0,VENTURE,E,20000,16.7,0.32,N,2,0.3225806451612903,3.1,3339.9999999999995,0.05387096774193548,0.08333333333333333,0.3333333333333333,0,0
24,42765,RENT,9.0,DEBTCONSOLIDATION,C,18000,11.03,0.42,Y,2,0.4209049456331112,2.3758333333333335,1985.3999999999999,0.04642581550333216,0.08333333333333333,0.375,0,1
36,54000,MORTGAGE,5.0,MEDICAL,A,5000,,0.09,N,16,0.09259259259259259,10.8,549.5,0.010175925925925925,0.4444444444444444,0.1388888888888889,0,0
27,36000,RENT,7.0,EDUCATION,D,16000,15.7,0.44,N,9,0.4444444444444444,2.25,2512.0,0.06977777777777777,0.3333333333333333,0.25925925925925924,0,1
37,52000,RENT,0.0,VENTURE,C,14000,13.16,0.27,Y,15,0.2692307692307692,3.7142857142857144,1842.3999999999999,0.03543076923076923,0.40540540540540543,0.0,0,0
28,66000,RENT,11.0,DEBTCONSOLIDATION,C,9000,13.99,0.14,N,7,0.13636363636363635,7.333333333333333,1259.1,0.019077272727272727,0.25,0.39285714285714285,0,0
25,21600,RENT,3.0,PERSONAL,B,3600,10.99,0.17,N,4,0.16666666666666666,6.0,395.64,0.018316666666666665,0.16,0.12,0,0
30,155000,RENT,9.0,DEBTCONSOLIDATION,A,6000,7.14,0.04,N,10,0.03870967741935484,25.833333333333332,428.3999999999999,0.002763870967741935,0.3333333333333333,0.3,0,0
23,47000,MORTGAGE,1.0,VENTURE,A,6000,5.99,0.13,N,2,0.1276595744680851,7.833333333333333,359.40000000000003,0.007646808510638299,0.08695652173913043,0.043478260869565216,0,0
24,43200,MORTGAGE,4.0,VENTURE,A,6350,7.49,0.15,N,4,0.14699074074074073,6.803149606299213,475.61500000000007,0.011009606481481483,0.16666666666666666,0.16666666666666666,0,0
22,85000,MORTGAGE,2.0,VENTURE,A,6000,7.88,0.07,N,2,0.07058823529411765,14.166666666666666,472.79999999999995,0.00556235294117647,0.09090909090909091,0.09090909090909091,0,0
22,54996,RENT,5.0,DEBTCONSOLIDATION,A,7200,7.66,0.13,N,2,0.13091861226271,7.638333333333334,551.52,0.010028365699323586,0.09090909090909091,0.22727272727272727,0,0
31,31800,RENT,6.0,DEBTCONSOLIDATION,D,3000,15.62,0.09,Y,9,0.09433962264150944,10.6,468.6,0.014735849056603774,0.2903225806451613,0.1935483870967742,1,1
22,67200,RENT,6.0,DEBTCONSOLIDATION,E,4800,16.7,0.07,Y,2,0.07142857142857142,14.0,801.5999999999999,0.011928571428571427,0.09090909090909091,0.2727272727272727,1,1
30,42000,RENT,1.0,DEBTCONSOLIDATION,A,4000,7.88,0.1,N,6,0.09523809523809523,10.5,315.2,0.007504761904761905,0.2,0.03333333333333333,0,0
22,52880,RENT,6.0,MEDICAL,D,5000,14.59,0.09,N,4,0.094553706505295,10.576,729.5,0.013795385779122541,0.18181818181818182,0.2727272727272727,0,1
22,15000,RENT,2.0,VENTURE,A,3000,7.51,0.2,N,4,0.2,5.0,225.3,0.01502,0.18181818181818182,0.09090909090909091,0,1
22,63000,MORTGAGE,6.0,PERSONAL,B,8950,10.99,0.14,N,4,0.14206349206349206,7.039106145251397,983.605,0.015612777777777778,0.18181818181818182,0.2727272727272727,0,0
26,147996,MORTGAGE,10.0,DEBTCONSOLIDATION,A,7500,8.0,0.05,N,3,0.05067704532554934,19.7328,600.0,0.004054163626043947,0.11538461538461539,0.38461538461538464,0,0
21,54000,RENT,0.0,VENTURE,D,1600,14.96,0.03,N,4,0.02962962962962963,33.75,239.36,0.004432592592592593,0.19047619047619047,0.0,0,1
26,51996,MORTGAGE,2.0,MEDICAL,E,6500,15.68,0.13,N,4,0.12500961612431727,7.999384615384615,1019.1999999999999,0.019601507808292944,0.15384615384615385,0.07692307692307693,0,1
22,56000,MORTGAGE,5.0,MEDICAL,B,12000,10.99,0.21,N,2,0.21428571428571427,4.666666666666667,1318.8,0.023549999999999998,0.09090909090909091,0.22727272727272727,0,0
41,39000,RENT,2.0,PERSONAL,D,8000,14.84,0.21,Y,14,0.20512820512820512,4.875,1187.2,0.030441025641025642,0.34146341463414637,0.04878048780487805,1,1
32,37120,RENT,7.0,PERSONAL,C,7000,13.47,0.19,Y,10,0.18857758620689655,5.3028571428571425,942.9000000000001,0.02540140086206897,0.3125,0.21875,0,0
26,55700,RENT,2.0,HOMEIMPROVEMENT,C,8000,13.49,0.14,Y,4,0.1436265709156194,6.9625,1079.2,0.019375224416517057,0.15384615384615385,0.07692307692307693,0,1
29,98080,MORTGAGE,8.0,VENTURE,B,20000,8.88,0.2,N,9,0.2039151712887439,4.904,1776.0,0.018107667210440458,0.3103448275862069,0.27586206896551724,0,0
23,42000,MORTGAGE,7.0,PERSONAL,C,12000,15.23,0.29,Y,3,0.2857142857142857,3.5,1827.6,0.043514285714285714,0.13043478260869565,0.30434782608695654,0,0
21,27000,MORTGAGE,3.0,MEDICAL,C,9600,13.49,0.36,Y,2,0.35555555555555557,2.8125,1295.04,0.04796444444444444,0.09523809523809523,0.14285714285714285,0,0
23,143000,MORTGAGE,7.0,DEBTCONSOLIDATION,D,24250,14.59,0.17,Y,2,0.16958041958041958,5.896907216494846,3538.0750000000003,0.02474178321678322,0.08695652173913043,0.30434782608695654,1,1
28,100000,OWN,13.0,VENTURE,C,2000,14.27,0.02,Y,5,0.02,50.0,285.4,0.0028539999999999998,0.17857142857142858,0.4642857142857143,0,0
28,35000,OWN,2.0,VENTURE,B,15000,,0.43,N,7,0.42857142857142855,2.3333333333333335,1648.5,0.0471,0.25,0.07142857142857142,0,0
23,149981,MORTGAGE,7.0,MEDICAL,C,25000,12.98,0.17,N,3,0.1666877804521906,5.99924,3245.0,0.02163607390269434,0.13043478260869565,0.30434782608695654,0,0
24,65000,OWN,8.0,PERSONAL,A,6000,6.99,0.09,N,2,0.09230769230769231,10.833333333333334,419.40000000000003,0.006452307692307693,0.08333333333333333,0.3333333333333333,0,0
22,115200,RENT,0.0,DEBTCONSOLIDATION,A,7000,7.66,0.06,N,2,0.06076388888888889,16.457142857142856,536.2,0.0046545138888888895,0.09090909090909091,0.0,0,0
22,50000,OWN,1.0,MEDICAL,A,3600,,0.07,N,2,0.072,13.88888888888889,395.64,0.0079128,0.09090909090909091,0.045454545454545456,0,0
22,37440,RENT,1.0,EDUCATION,C,3200,13.04,0.09,Y,2,0.08547008547008547,11.7,417.28,0.011145299145299145,0.09090909090909091,0.045454545454545456,0,0
22,50000,MORTGAGE,2.0,EDUCATION,B,22000,9.91,0.44,N,2,0.44,2.272727272727273,2180.2000000000003,0.043604000000000004,0.09090909090909091,0.09090909090909091,0,0
22,30000,MORTGAGE,6.0,VENTURE,B,3000,11.49,0.1,N,2,0.1,10.0,344.7,0.01149,0.09090909090909091,0.2727272727272727,0,0
39,95000,MORTGAGE,3.0,HOMEIMPROVEMENT,D,20000,14.84,0.21,Y,11,0.21052631578947367,4.75,2968.0,0.031242105263157894,0.28205128205128205,0.07692307692307693,1,0
28,42000,RENT,7.0,MEDICAL,A,2250,6.99,0.05,N,8,0.05357142857142857,18.666666666666668,157.275,0.0037446428571428574,0.2857142857142857,0.25,0,1
22,30000,RENT,6.0,MEDICAL,B,9150,10.59,0.3,N,2,0.305,3.278688524590164,968.9849999999999,0.032299499999999995,0.09090909090909091,0.2727272727272727,0,0
29,45600,MORTGAGE,9.0,MEDICAL,A,2000,7.88,0.04,N,8,0.043859649122807015,22.8,157.6,0.0034561403508771927,0.27586206896551724,0.3103448275862069,0,0
22,19200,RENT,3.0,MEDICAL,C,2850,15.27,0.15,Y,4,0.1484375,6.7368421052631575,435.195,0.02266640625,0.18181818181818182,0.13636363636363635,0,0
32,160000,MORTGAGE,2.0,MEDICAL,B,3200,,0.02,N,5,0.02,50.0,351.68,0.002198,0.15625,0.0625,0,0
41,23400,RENT,2.0,VENTURE,B,5375,,0.23,N,16,0.2297008547008547,4.3534883720930235,590.7125,0.02524412393162393,0.3902439024390244,0.04878048780487805,0,0
23,58977,RENT,7.0,DEBTCONSOLIDATION,C,14400,,0.24,N,4,0.24416297878834123,4.095625,1582.56,0.0268335113688387,0.17391304347826086,0.30434782608695654,0,0
39,72000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,15000,11.86,0.21,N,15,0.20833333333333334,4.8,1779.0,0.024708333333333332,0.38461538461538464,0.23076923076923078,0,0
40,39500,OWN,0.0,PERSONAL,A,10000,7.29,0.25,N,11,0.25316455696202533,3.95,729.0000000000001,0.01845569620253165,0.275,0.0,0,0
21,17000,RENT,,DEBTCONSOLIDATION,B,7000,10.62,0.41,N,2,0.4117647058823529,2.4285714285714284,743.4,0.04372941176470588,0.09523809523809523,0.19047619047619047,0,1
22,30000,RENT,1.0,PERSONAL,B,9375,11.71,0.31,N,2,0.3125,3.2,1097.8125,0.03659375,0.09090909090909091,0.045454545454545456,0,1
25,115000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,7000,,0.06,Y,4,0.06086956521739131,16.428571428571427,769.3,0.006689565217391304,0.16,0.12,0,0
27,27000,RENT,3.0,MEDICAL,B,6900,9.99,0.26,N,7,0.25555555555555554,3.9130434782608696,689.3100000000001,0.02553,0.25925925925925924,0.1111111111111111,0,0
27,70176,RENT,3.0,MEDICAL,A,9000,7.88,0.13,N,5,0.12824897400820792,7.7973333333333334,709.1999999999999,0.010106019151846784,0.18518518518518517,0.1111111111111111,0,0
29,68000,RENT,1.0,EDUCATION,B,10000,10.65,0.15,N,5,0.14705882352941177,6.8,1065.0,0.015661764705882354,0.1724137931034483,0.034482758620689655,0,0
23,56016,RENT,4.0,EDUCATION,E,5000,15.13,0.09,N,3,0.08926021136818052,11.2032,756.5000000000001,0.013505069980005715,0.13043478260869565,0.17391304347826086,0,0
22,62000,MORTGAGE,6.0,EDUCATION,A,1500,6.91,0.02,N,2,0.024193548387096774,41.333333333333336,103.64999999999999,0.001671774193548387,0.09090909090909091,0.2727272727272727,0,0
34,285000,RENT,5.0,EDUCATION,B,21000,11.71,0.07,N,10,0.07368421052631578,13.571428571428571,2459.1000000000004,0.00862842105263158,0.29411764705882354,0.14705882352941177,0,0
24,97750,MORTGAGE,0.0,MEDICAL,E,24000,17.39,0.21,Y,3,0.24552429667519182,4.072916666666667,4173.6,0.04269667519181586,0.125,0.0,1,1
32,100000,MORTGAGE,2.0,MEDICAL,C,35000,,0.35,N,10,0.35,2.857142857142857,3846.5,0.038465,0.3125,0.0625,0,0
25,61200,MORTGAGE,10.0,MEDICAL,A,5200,5.42,0.08,N,4,0.08496732026143791,11.76923076923077,281.84,0.004605228758169934,0.16,0.4,0,0
24,74000,RENT,3.0,EDUCATION,B,11500,10.74,0.16,N,3,0.1554054054054054,6.434782608695652,1235.1,0.01669054054054054,0.125,0.125,0,0
23,70000,MORTGAGE,7.0,VENTURE,A,3500,6.03,0.05,N,3,0.05,20.0,211.05,0.0030150000000000003,0.13043478260869565,0.30434782608695654,0,0
25,49200,MORTGAGE,6.0,MEDICAL,A,5600,7.49,0.11,N,3,0.11382113821138211,8.785714285714286,419.44000000000005,0.008525203252032522,0.12,0.24,0,0
23,58000,RENT,4.0,EDUCATION,C,1200,15.23,0.02,N,4,0.020689655172413793,48.333333333333336,182.76,0.0031510344827586204,0.17391304347826086,0.17391304347826086,0,0
30,42000,OWN,,MEDICAL,C,4000,15.23,0.1,Y,5,0.09523809523809523,10.5,609.1999999999999,0.014504761904761904,0.16666666666666666,0.13333333333333333,0,0
26,24000,RENT,1.0,DEBTCONSOLIDATION,C,7750,14.35,0.32,N,3,0.3229166666666667,3.096774193548387,1112.125,0.04633854166666666,0.11538461538461539,0.038461538461538464,0,1
23,80000,RENT,2.0,VENTURE,B,7800,9.99,0.1,N,2,0.0975,10.256410256410257,779.22,0.00974025,0.08695652173913043,0.08695652173913043,0,0
23,46000,RENT,7.0,HOMEIMPROVEMENT,C,10000,13.43,0.22,N,4,0.21739130434782608,4.6,1343.0,0.029195652173913043,0.17391304347826086,0.30434782608695654,0,1
22,38400,OWN,5.0,EDUCATION,C,10000,13.99,0.26,N,4,0.2604166666666667,3.84,1399.0,0.036432291666666665,0.18181818181818182,0.22727272727272727,0,0
31,39000,RENT,2.0,PERSONAL,C,7000,,0.18,N,9,0.1794871794871795,5.571428571428571,769.3,0.019725641025641026,0.2903225806451613,0.06451612903225806,0,0
28,90722,MORTGAGE,7.0,HOMEIMPROVEMENT,B,18000,10.99,0.2,N,5,0.19840832433147418,5.040111111111111,1978.2,0.02180507484402901,0.17857142857142858,0.25,0,0
24,38000,OWN,2.0,EDUCATION,A,9600,,0.25,N,2,0.25263157894736843,3.9583333333333335,1055.04,0.027764210526315787,0.08333333333333333,0.08333333333333333,0,0
50,51500,OWN,7.0,VENTURE,A,10875,7.49,0.21,N,14,0.2111650485436893,4.735632183908046,814.5375000000001,0.015816262135922333,0.28,0.14,0,0
27,69000,RENT,5.0,VENTURE,E,25000,13.75,0.36,Y,6,0.36231884057971014,2.76,3437.5000000000005,0.04981884057971015,0.2222222222222222,0.18518518518518517,1,1
21,85000,MORTGAGE,5.0,EDUCATION,B,25000,10.99,0.29,N,2,0.29411764705882354,3.4,2747.5,0.03232352941176471,0.09523809523809523,0.23809523809523808,0,0
22,65000,MORTGAGE,6.0,VENTURE,A,17000,8.94,0.26,N,2,0.26153846153846155,3.823529411764706,1519.8,0.02338153846153846,0.09090909090909091,0.2727272727272727,0,0
23,91392,RENT,7.0,DEBTCONSOLIDATION,A,12000,5.42,0.13,N,3,0.13130252100840337,7.616,650.4,0.007116596638655462,0.13043478260869565,0.30434782608695654,0,0
28,56461,RENT,5.0,EDUCATION,E,5400,15.68,0.1,Y,6,0.09564123908538637,10.45574074074074,846.72,0.014996546288588583,0.21428571428571427,0.17857142857142858,1,0
25,30300,MORTGAGE,4.0,MEDICAL,B,5000,10.0,0.17,N,2,0.16501650165016502,6.06,500.0,0.0165016501650165,0.08,0.16,0,1
22,85000,MORTGAGE,3.0,PERSONAL,A,10000,5.99,0.12,N,2,0.11764705882352941,8.5,599.0,0.0070470588235294115,0.09090909090909091,0.13636363636363635,0,0
29,90000,MORTGAGE,13.0,DEBTCONSOLIDATION,B,10000,12.21,0.11,N,7,0.1111111111111111,9.0,1221.0000000000002,0.01356666666666667,0.2413793103448276,0.4482758620689655,0,0
22,45000,MORTGAGE,1.0,EDUCATION,B,14550,11.83,0.32,N,4,0.3233333333333333,3.0927835051546393,1721.265,0.03825033333333334,0.18181818181818182,0.045454545454545456,0,0
24,90000,RENT,3.0,HOMEIMPROVEMENT,B,15000,11.86,0.17,N,2,0.16666666666666666,6.0,1779.0,0.019766666666666665,0.08333333333333333,0.125,0,0
27,80000,RENT,5.0,HOMEIMPROVEMENT,A,16000,7.49,0.2,N,8,0.2,5.0,1198.4,0.014980000000000002,0.2962962962962963,0.18518518518518517,0,0
23,27000,RENT,4.0,PERSONAL,C,7000,13.79,0.26,N,2,0.25925925925925924,3.857142857142857,965.3,0.03575185185185185,0.08695652173913043,0.17391304347826086,0,0
22,45000,RENT,3.0,MEDICAL,B,5000,9.91,0.11,N,3,0.1111111111111111,9.0,495.50000000000006,0.011011111111111112,0.13636363636363635,0.13636363636363635,0,0
28,124800,MORTGAGE,1.0,VENTURE,C,15000,12.53,0.12,Y,5,0.1201923076923077,8.32,1879.5,0.015060096153846153,0.17857142857142858,0.03571428571428571,0,0
25,54503,RENT,9.0,EDUCATION,A,6300,7.51,0.12,N,2,0.1155899675247234,8.65126984126984,473.13,0.008680806561106728,0.08,0.36,0,0
32,26400,RENT,12.0,VENTURE,A,12000,6.17,0.45,N,9,0.45454545454545453,2.2,740.4,0.028045454545454544,0.28125,0.375,0,1
34,29004,RENT,9.0,EDUCATION,B,10000,11.83,0.34,N,5,0.3447800303406427,2.9004,1183.0,0.04078747758929803,0.14705882352941177,0.2647058823529412,0,1
38,48996,MORTGAGE,6.0,EDUCATION,A,5000,7.29,0.1,N,12,0.10204914686913218,9.7992,364.50000000000006,0.007439382806759737,0.3157894736842105,0.15789473684210525,0,0
37,22000,RENT,2.0,MEDICAL,B,4000,10.0,0.18,N,17,0.18181818181818182,5.5,400.0,0.01818181818181818,0.4594594594594595,0.05405405405405406,0,0
23,65000,OWN,8.0,PERSONAL,C,9600,14.17,0.15,Y,4,0.1476923076923077,6.770833333333333,1360.32,0.020928,0.17391304347826086,0.34782608695652173,0,0
23,44000,MORTGAGE,8.0,PERSONAL,B,15000,12.18,0.34,N,3,0.3409090909090909,2.933333333333333,1826.9999999999998,0.04152272727272727,0.13043478260869565,0.34782608695652173,0,1
23,78000,RENT,1.0,HOMEIMPROVEMENT,D,12000,14.96,0.15,N,4,0.15384615384615385,6.5,1795.2,0.023015384615384615,0.17391304347826086,0.043478260869565216,0,1
32,52500,MORTGAGE,15.0,DEBTCONSOLIDATION,A,9500,6.92,0.18,N,7,0.18095238095238095,5.526315789473684,657.4,0.012521904761904762,0.21875,0.46875,0,0
28,62000,RENT,2.0,MEDICAL,C,12800,13.16,0.21,Y,5,0.2064516129032258,4.84375,1684.48,0.027169032258064517,0.17857142857142858,0.07142857142857142,0,0
31,38000,RENT,15.0,VENTURE,A,14400,8.94,0.38,N,7,0.37894736842105264,2.638888888888889,1287.36,0.0338778947368421,0.22580645161290322,0.4838709677419355,0,1
24,37000,RENT,5.0,VENTURE,A,9000,7.14,0.24,N,2,0.24324324324324326,4.111111111111111,642.5999999999999,0.017367567567567566,0.08333333333333333,0.20833333333333334,0,0
